time:2024-01-15 10:43:30	ID:waveshare000	IP:192.168.38.124	PROT:64296	connect.
time:2024-01-15 10:44:21	ID:waveshare000	IP:192.168.38.124	PROT:49278	connect.
time:2024-01-15 10:44:32	ID:waveshare000	IP:192.168.38.124	PROT:49278	Display over.
time:2024-01-15 10:44:42	ID:waveshare000	IP:192.168.38.124	PROT:49278	Display over.
time:2024-01-15 11:07:27	ID:waveshare000	IP:192.168.38.124	PROT:49488	connect.
time:2024-01-15 11:08:16	ID:waveshare000	IP:192.168.38.124	PROT:52143	connect.
time:2024-01-15 11:08:27	ID:waveshare000	IP:192.168.38.124	PROT:52143	Display over.
time:2024-01-15 11:08:38	ID:waveshare000	IP:192.168.38.124	PROT:52143	Display over.
time:2024-01-15 13:49:48	ID:waveshare000	IP:192.168.38.124	PROT:59509	connect.
time:2024-01-15 13:49:59	ID:waveshare000	IP:192.168.38.124	PROT:59509	Display over.
time:2024-01-15 13:50:10	ID:waveshare000	IP:192.168.38.124	PROT:59509	Display over.
time:2024-01-15 13:50:36	ID:waveshare000	IP:192.168.38.124	PROT:60476	connect.
time:2024-01-15 13:57:07	ID:waveshare000	IP:192.168.38.124	PROT:52981	connect.
time:2024-01-15 13:57:17	ID:waveshare000	IP:192.168.38.124	PROT:59725	connect.
time:2024-01-15 13:57:28	ID:waveshare000	IP:192.168.38.124	PROT:58243	connect.
time:2024-01-15 13:57:40	ID:waveshare000	IP:192.168.38.124	PROT:63883	connect.
time:2024-01-15 13:57:53	ID:waveshare000	IP:192.168.38.124	PROT:54607	connect.
time:2024-01-15 13:58:18	ID:waveshare000	IP:192.168.38.124	PROT:51517	connect.
time:2024-01-15 13:58:50	ID:waveshare000	IP:192.168.38.124	PROT:55297	connect.
time:2024-01-15 13:59:01	ID:waveshare000	IP:192.168.38.124	PROT:61213	connect.
time:2024-01-15 13:59:12	ID:waveshare000	IP:192.168.38.124	PROT:59622	connect.
time:2024-01-15 13:59:24	ID:waveshare000	IP:192.168.38.124	PROT:62269	connect.
time:2024-01-15 13:59:36	ID:waveshare000	IP:192.168.38.124	PROT:63691	connect.
time:2024-01-15 13:59:49	ID:waveshare000	IP:192.168.38.124	PROT:58968	connect.
time:2024-01-15 14:00:01	ID:waveshare000	IP:192.168.38.124	PROT:57049	connect.
time:2024-01-15 14:00:14	ID:waveshare000	IP:192.168.38.124	PROT:56061	connect.
time:2024-01-15 14:00:31	ID:waveshare000	IP:192.168.38.124	PROT:57920	connect.
time:2024-01-15 14:00:45	ID:waveshare000	IP:192.168.38.124	PROT:62335	connect.
time:2024-01-15 14:01:00	ID:waveshare000	IP:192.168.38.124	PROT:50659	connect.
time:2024-01-15 14:01:11	ID:waveshare000	IP:192.168.38.124	PROT:65158	connect.
time:2024-01-15 14:01:22	ID:waveshare000	IP:192.168.38.124	PROT:60298	connect.
time:2024-01-15 14:01:34	ID:waveshare000	IP:192.168.38.124	PROT:59385	connect.
time:2024-01-15 14:01:44	ID:waveshare000	IP:192.168.38.124	PROT:60210	connect.
time:2024-01-15 14:01:56	ID:waveshare000	IP:192.168.38.124	PROT:64892	connect.
time:2024-01-15 14:03:16	ID:waveshare000	IP:192.168.38.124	PROT:64522	connect.
time:2024-01-15 14:03:27	ID:waveshare000	IP:192.168.38.124	PROT:64522	Display over.
time:2024-01-15 14:03:52	ID:waveshare000	IP:192.168.38.124	PROT:64522	Display over.
